Wells,min.abs,clot.time,clot.abs,max.abs,delta.abs,max.time,clotTomaxt,startPoint,pointmax
A2,0.042,222.222,0.186,0.33,0.288,1960,1737.778,12,99
A3,0.042,300,0.203,0.364,0.322,1680,1380,16,85
A4,0.042,247.368,0.2,0.357,0.315,2000,1752.632,13,101
A5,0.042,363.636,0.198,0.355,0.313,2480,2116.364,19,125
A6,0.042,365.455,0.202,0.363,0.321,2480,2114.545,19,125
A7,0.042,257,0.216,0.389,0.347,3040,2783,14,153
A8,0.042,332.308,0.226,0.409,0.367,3480,3147.692,18,175
A9,0.042,236.667,0.194,0.345,0.303,3140,2903.333,13,158
B2,0.042,412,0.216,0.389,0.347,1980,1568,22,100
B3,0.042,552,0.227,0.412,0.37,2180,1628,29,110
B4,0.042,442.667,0.226,0.41,0.368,2240,1797.333,23,113
B5,0.042,645,0.214,0.385,0.343,2520,1875,33,127
B6,0.042,635,0.224,0.406,0.364,2480,1845,33,125
B7,0.042,463.75,0.25,0.459,0.417,2720,2256.25,24,137
B8,0.042,592,0.255,0.468,0.426,3940,3348,31,198
B9,0.042,440,0.237,0.432,0.39,3940,3500,23,198
C2,0.042,726.667,0.226,0.41,0.368,2480,1753.333,37,125
C3,0.042,936.667,0.242,0.441,0.399,2960,2023.333,48,149
C4,0.042,744,0.244,0.445,0.403,2620,1876,38,132
C5,0.042,1130,0.237,0.431,0.389,3400,2270,57,171
C6,0.042,1140,0.244,0.445,0.403,3620,2480,58,182
C7,0.042,794.545,0.264,0.487,0.445,3660,2865.455,41,184
C8,0.042,997.143,0.276,0.511,0.469,3940,2942.857,51,198
C9,0.042,787.273,0.262,0.483,0.441,3940,3152.727,40,198
D2,0.042,1333.333,0.219,0.396,0.354,3120,1786.667,68,157
D3,0.042,1720,0.228,0.415,0.373,4460,2740,87,224
D4,0.042,1463.333,0.244,0.445,0.403,3500,2036.667,74,176
D5,0.042,1990,0.224,0.406,0.364,5100,3110,101,256
D6,0.042,1993.333,0.242,0.442,0.4,5200,3206.667,101,261
D7,0.042,1508,0.254,0.465,0.423,4780,3272,76,240
D8,0.042,1715,0.26,0.477,0.435,5120,3405,87,257
D9,0.042,1390,0.265,0.488,0.446,4800,3410,70,241
