"Time","A2","A3","A4","A5","A6","A7","A8","A9","B2","B3","B4","B5","B6","B7","B8","B9","C2","C3","C4","C5","C6","C7","C8","C9","D2","D3","D4","D5","D6","D7","D8","D9"
0,0.044,0.044,0.043,0.044,0.043,0.044,0.044,0.043,0.043,0.043,0.042,0.043,0.043,0.041,0.041,0.042,0.041,0.042,0.041,0.041,0.041,0.042,0.041,0.041,0.042,0.043,0.037,0.044,0.042,0.042,0.045,0.043
20,0.046,0.045,0.044,0.045,0.045,0.046,0.045,0.044,0.044,0.043,0.043,0.044,0.044,0.042,0.042,0.043,0.042,0.042,0.041,0.042,0.042,0.042,0.041,0.041,0.042,0.043,0.037,0.043,0.042,0.042,0.045,0.043
40,0.048,0.047,0.046,0.046,0.046,0.047,0.046,0.046,0.044,0.043,0.043,0.044,0.045,0.042,0.043,0.043,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.043,0.043,0.037,0.044,0.043,0.042,0.045,0.044
60,0.054,0.052,0.049,0.049,0.049,0.05,0.05,0.051,0.045,0.044,0.044,0.044,0.045,0.043,0.043,0.044,0.042,0.042,0.041,0.042,0.042,0.043,0.041,0.042,0.042,0.043,0.037,0.043,0.042,0.042,0.045,0.044
80,0.064,0.059,0.056,0.054,0.054,0.057,0.057,0.061,0.047,0.045,0.045,0.045,0.046,0.044,0.044,0.045,0.043,0.043,0.042,0.042,0.042,0.043,0.042,0.042,0.043,0.044,0.037,0.044,0.043,0.042,0.045,0.044
100,0.078,0.069,0.067,0.062,0.061,0.069,0.067,0.075,0.049,0.046,0.046,0.046,0.046,0.045,0.045,0.047,0.043,0.044,0.042,0.043,0.043,0.043,0.042,0.043,0.043,0.044,0.038,0.044,0.043,0.043,0.046,0.045
120,0.094,0.081,0.081,0.07,0.069,0.083,0.078,0.09,0.052,0.048,0.047,0.047,0.048,0.047,0.047,0.05,0.043,0.044,0.042,0.043,0.043,0.044,0.042,0.043,0.043,0.044,0.037,0.044,0.042,0.043,0.045,0.045
140,0.111,0.093,0.097,0.079,0.079,0.099,0.09,0.107,0.058,0.051,0.051,0.049,0.05,0.05,0.049,0.055,0.044,0.044,0.043,0.043,0.043,0.044,0.042,0.044,0.043,0.044,0.038,0.044,0.043,0.043,0.045,0.045
160,0.128,0.106,0.115,0.088,0.089,0.118,0.103,0.124,0.065,0.056,0.057,0.052,0.054,0.056,0.054,0.062,0.045,0.044,0.043,0.044,0.044,0.045,0.043,0.044,0.044,0.044,0.038,0.044,0.043,0.043,0.045,0.046
180,0.147,0.119,0.134,0.098,0.098,0.137,0.116,0.143,0.072,0.061,0.064,0.056,0.058,0.062,0.059,0.071,0.045,0.045,0.044,0.044,0.044,0.045,0.043,0.045,0.044,0.044,0.037,0.044,0.043,0.043,0.045,0.046
200,0.167,0.133,0.154,0.109,0.11,0.158,0.131,0.162,0.082,0.069,0.073,0.06,0.063,0.071,0.066,0.08,0.047,0.046,0.045,0.044,0.044,0.046,0.044,0.046,0.044,0.045,0.038,0.044,0.043,0.043,0.046,0.046
220,0.184,0.146,0.173,0.119,0.12,0.179,0.144,0.179,0.092,0.075,0.082,0.065,0.068,0.081,0.073,0.09,0.049,0.047,0.047,0.045,0.045,0.047,0.044,0.047,0.044,0.044,0.037,0.044,0.043,0.043,0.045,0.046
240,0.202,0.16,0.193,0.13,0.131,0.199,0.159,0.197,0.103,0.083,0.092,0.07,0.074,0.091,0.08,0.101,0.051,0.048,0.049,0.045,0.045,0.049,0.045,0.05,0.044,0.045,0.038,0.044,0.043,0.043,0.045,0.047
260,0.217,0.174,0.212,0.141,0.142,0.219,0.174,0.213,0.114,0.091,0.104,0.076,0.08,0.103,0.089,0.114,0.055,0.051,0.053,0.047,0.047,0.052,0.047,0.053,0.044,0.045,0.039,0.045,0.044,0.044,0.045,0.048
280,0.231,0.189,0.23,0.152,0.154,0.238,0.189,0.227,0.127,0.1,0.115,0.082,0.086,0.115,0.098,0.126,0.059,0.054,0.056,0.048,0.048,0.056,0.05,0.057,0.044,0.045,0.039,0.045,0.044,0.044,0.045,0.048
300,0.242,0.203,0.247,0.163,0.166,0.255,0.203,0.239,0.14,0.108,0.128,0.089,0.094,0.128,0.107,0.139,0.064,0.057,0.061,0.05,0.05,0.059,0.053,0.061,0.045,0.045,0.039,0.045,0.044,0.044,0.046,0.048
320,0.252,0.215,0.26,0.174,0.176,0.269,0.218,0.248,0.152,0.117,0.14,0.095,0.1,0.141,0.116,0.152,0.069,0.06,0.066,0.052,0.052,0.064,0.057,0.066,0.045,0.045,0.039,0.045,0.044,0.045,0.045,0.049
340,0.26,0.228,0.272,0.186,0.188,0.282,0.231,0.256,0.166,0.126,0.153,0.102,0.107,0.155,0.125,0.165,0.073,0.064,0.071,0.054,0.054,0.068,0.06,0.071,0.045,0.045,0.039,0.045,0.044,0.045,0.045,0.049
360,0.266,0.24,0.282,0.196,0.199,0.292,0.245,0.262,0.18,0.135,0.167,0.109,0.115,0.17,0.135,0.18,0.08,0.068,0.078,0.057,0.057,0.074,0.065,0.077,0.046,0.046,0.04,0.045,0.045,0.045,0.046,0.049
